year,division,schools,athletes,recruit_total_sum,recruit_median,recruit_per_athlete_median,aid_per_athlete_median,recruit_share_of_year
2014,2-Year (JUCO),356,43799,5185669,7000.0,71.75208818293851,2481.813991662324,0.021164774667675603
2014,NAIA,219,57948,6216956,20837.0,86.88560885608857,6200.954976303317,0.025373866488365118
2014,NCAA D1 (No Football),347,146815,197893479,379954.0,932.7089552238806,14414.985365853658,0.807681880821432
2014,NCAA D2,305,97474,16646615,43349.0,144.3960612691466,5985.144396551724,0.06794144698679162
2014,NCAA D3,412,150788,18191607,33859.0,105.92463225475639,0.0,0.07424717292945426
2014,Other,84,9477,879811,4000.0,38.51648351648352,958.5833333333334,0.0035908581062814348
2018,2-Year (JUCO),352,45539,4955647,7094.5,71.45553719008265,2753.273857614053,0.015524236084651871
2018,NAIA,219,63984,6402522,23236.0,87.42081447963801,6600.478494623656,0.020056768180860635
2018,NCAA D1 (FBS),127,64150,189940823,1341699.0,2376.1841432225065,21539.38840070299,0.5950153790948133
2018,NCAA D1 (FCS),126,55376,46272258,300661.5,778.8600713494229,13602.85554954955,0.14495412150258508
2018,NCAA D1 (No Football),96,30164,28666760,254179.5,789.9457547169811,15861.89327212621,0.08980251216885603
2018,NCAA D2,304,104508,19515192,52401.5,165.56078976993638,6767.9549700124135,0.06113398469368571
2018,NCAA D3,412,159591,22637245,47465.5,126.46509506240045,0.0,0.0709142389855664
2018,Other,85,8361,829576,4800.0,56.31578947368421,804.0,0.0025987592889810673
2024,2-Year (JUCO),335,50482,5297820,7941.0,59.59349593495935,2896.9484536082473,0.012129312007886327
2024,NAIA,195,75984,7085185,27567.0,76.33587786259542,7693.744075829384,0.016221468358418385
2024,NCAA D1 (FBS),128,66510,290589207,2012165.0,3598.334686387171,24541.788259109315,0.6653014179091146
2024,NCAA D1 (FCS),132,64962,56936915,309857.0,704.8731480602744,15088.025295967444,0.13035656303942056
2024,NCAA D1 (No Football),98,34193,32931238,286321.0,785.7414760194114,16745.40031242092,0.07539577798187981
2024,NCAA D2,287,113142,18284673,51059.0,131.6346153846154,7033.853281853282,0.0418625970265458
2024,NCAA D3,396,173315,23722321,47623.0,113.79868450687778,0.0,0.05431204400304917
2024,Other,78,10728,1930918,6454.5,63.194630591388844,1004.4416666666666,0.004420819673685374
